date,open,high,low,close,volume,pct_chg
2006-07-26,2414.11,2414.11,2389.6,2390.74,108.61,-0.86
2006-07-27,2388.61,2401.62,2342.02,2358.52,141.9,-1.35
2006-07-28,2358.04,2362.42,2295.22,2305.65,124.23,-2.24
2006-07-31,2297.05,2297.05,2192.05,2192.41,132.61,-4.91
2006-08-01,2193.28,2209.39,2172.84,2178.73,101.03,-0.62
2006-08-02,2178.08,2183.06,2141.8,2168.83,84.88,-0.45
2006-08-03,2167.79,2178.84,2137.07,2148.84,76.99,-0.92
2006-08-04,2148.07,2148.96,2058.87,2065.31,112.35,-3.89
2006-08-07,2054.03,2066.16,2027.36,2037.37,100.79,-1.35
2006-08-08,2035.41,2083.54,2035.41,2083.54,85.37,2.27
2006-08-09,2088.65,2107.42,2077.03,2089.19,96.57,0.27
2006-08-10,2086.76,2112.78,2086.76,2112.78,98.54,1.13
2006-08-11,2114.95,2117.13,2093.77,2114.19,79.4,0.07
2006-08-14,2113.88,2119.3,2035.42,2044.33,98.26,-3.3
2006-08-15,2039.93,2079.93,2029.79,2079.88,81.58,1.74
2006-08-16,2082.09,2125.2,2074.16,2122.74,105.66,2.06
2006-08-17,2119.34,2121.05,2096.75,2115.38,106.03,-0.35
2006-08-18,2111.64,2122.15,2095.17,2098.99,54.98,-0.78
2006-08-21,2034.87,2111.1,2034.87,2111.1,74.85,0.58
2006-08-22,2108.51,2169.31,2108.51,2167.16,119.6,2.66
2006-08-23,2167.31,2205.99,2167.31,2175.42,117.06,0.38
2006-08-24,2185.92,2207.03,2153.22,2206.84,90.11,1.44
2006-08-25,2210.15,2280.92,2210.15,2266.67,188.76,2.71
2006-08-28,2280.92,2299.75,2267.89,2298.51,178.72,1.41
2006-08-29,2299.31,2340.45,2297.54,2297.93,168.9,-0.03
2006-08-30,2288.19,2315.57,2288.19,2315.57,104.07,0.77
2006-08-31,2318.33,2324.32,2295.5,2316.71,96.17,0.05
2006-09-01,2311.25,2316.36,2265.31,2265.48,112.87,-2.21
2006-09-04,2271.78,2348.13,2271.62,2340.18,143.86,3.3
2006-09-05,2349.23,2375.42,2347.98,2370.78,195.21,1.31
2006-09-06,2368.58,2373.42,2339.75,2365.77,139.14,-0.21
2006-09-07,2356.69,2357.88,2316.77,2325.14,112.14,-1.72
2006-09-08,2318.15,2354.16,2318.15,2344.87,111.92,0.85
2006-09-11,2356.41,2362.43,2314.38,2341.06,117.78,-0.16
2006-09-12,2343.74,2343.74,2329.75,2330.9,115.71,-0.43
2006-09-13,2334.07,2337.83,2290.11,2290.11,119.58,-1.75
2006-09-14,2293.94,2306.93,2271.35,2299.51,130.67,0.41
2006-09-15,2298.3,2351.94,2297.66,2349.72,141.29,2.18
2006-09-18,2359.56,2416.11,2354.41,2406.54,161.54,2.42
2006-09-19,2453.53,2455.37,2422.55,2434.12,184.95,1.15
2006-09-20,2439.98,2461.16,2402.18,2451.61,164.93,0.72
2006-09-21,2446.49,2466.1,2446.49,2454.7,145.71,0.13
2006-09-22,2453.18,2503.04,2427.31,2470.99,236.7,0.66
2006-09-25,2461.25,2535.63,2461.25,2532.35,199.46,2.48
2006-09-26,2526.7,2532.95,2484.41,2512.44,172.89,-0.79
2006-09-27,2503.19,2560.69,2503.19,2551.65,186.41,1.56
2006-09-28,2548.21,2628.73,2548.21,2616.75,206.96,2.55
2006-09-29,2625.42,2679.67,2625.42,2667.02,248.44,1.92
2006-10-09,2701.81,2710.75,2669.83,2707.24,227.59,1.51
2006-10-10,2710.58,2802.46,2701.95,2773.11,298.11,2.43
2006-10-11,2763.26,2767.25,2729.84,2761.1,214.23,-0.43
2006-10-12,2759.71,2759.71,2621.15,2621.15,264.76,-5.07
2006-10-13,2606.51,2675.82,2579.18,2670.82,227.31,1.9
2006-10-16,2665.34,2691.66,2628.58,2631.89,200.49,-1.46
