exchange,code,name,full_name,short_name,company_full_name,list_date,board
SH,600136,ST明诚,ST明诚,ST明诚,武汉明诚文化体育集团股份有限公司,1998-03-03,主板
SH,600137,浪莎股份,浪莎股份,浪莎股份,四川浪莎控股股份有限公司,1998-04-16,主板
SH,600138,中青旅,中青旅,中青旅,中青旅控股股份有限公司,1997-12-03,主板
SH,600141,兴发集团,兴发集团,兴发集团,湖北兴发化工集团股份有限公司,1999-06-16,主板
SH,600143,金发科技,金发科技,金发科技,金发科技股份有限公司,2004-06-23,主板
SH,600148,长春一东,长春一东,长春一东,长春一东离合器股份有限公司,1998-05-20,主板
SH,600149,廊坊发展,廊坊发展,廊坊发展,廊坊发展股份有限公司,1999-10-14,主板
SH,600150,中国船舶,中国船舶,中国船舶,中国船舶工业股份有限公司,1998-05-20,主板
SH,600151,航天机电,航天机电,航天机电,上海航天汽车机电股份有限公司,1998-06-05,主板
SH,600152,维科技术,维科技术,维科技术,维科技术股份有限公司,1998-06-09,主板
SH,600153,建发股份,建发股份,建发股份,厦门建发股份有限公司,1998-06-16,主板
SH,600155,华创云信,华创云信,华创云信,华创云信数字技术股份有限公司,1998-09-18,主板
SH,600156,华升股份,华升股份,XD华升股,湖南华升股份有限公司,1998-05-27,主板
SH,600157,永泰能源,永泰能源,永泰能源,永泰能源集团股份有限公司,1998-05-13,主板
SH,600158,中体产业,中体产业,中体产业,中体产业集团股份有限公司,1998-03-27,主板
SH,600159,大龙地产,大龙地产,大龙地产,北京市大龙伟业房地产开发股份有限公司,1998-05-26,主板
SH,600160,巨化股份,巨化股份,巨化股份,浙江巨化股份有限公司,1998-06-26,主板
SH,600161,天坛生物,天坛生物,天坛生物,北京天坛生物制品股份有限公司,1998-06-16,主板
SH,600162,香江控股,香江控股,香江控股,深圳香江控股股份有限公司,1998-06-09,主板
SH,600163,中闽能源,中闽能源,中闽能源,中闽能源股份有限公司,1998-06-02,主板
SH,600165,ST宁科,ST宁科,ST宁科,宁夏中科生物科技股份有限公司,1998-05-29,主板
SH,600166,福田汽车,福田汽车,福田汽车,北汽福田汽车股份有限公司,1998-06-02,主板
SH,600167,联美控股,联美控股,联美控股,联美量子股份有限公司,1999-01-28,主板
SH,600168,武汉控股,武汉控股,武汉控股,武汉三镇实业控股股份有限公司,1998-04-27,主板
SH,600169,ST太重,ST太重,ST太重,太原重工股份有限公司,1998-09-04,主板
SH,600170,上海建工,上海建工,上海建工,上海建工集团股份有限公司,1998-06-23,主板
SH,600171,上海贝岭,上海贝岭,上海贝岭,上海贝岭股份有限公司,1998-09-24,主板
SH,600172,黄河旋风,黄河旋风,黄河旋风,河南黄河旋风股份有限公司,1998-11-26,主板
SH,600173,卧龙新能,卧龙新能,卧龙新能,卧龙新能源集团股份有限公司,1999-04-15,主板
SH,600176,中国巨石,中国巨石,中国巨石,中国巨石股份有限公司,1999-04-22,主板
SH,600177,雅戈尔,雅戈尔,雅戈尔,雅戈尔时尚股份有限公司,1998-11-19,主板
SH,600178,东安动力,东安动力,东安动力,哈尔滨东安汽车动力股份有限公司,1998-10-14,主板
SH,600179,安通控股,安通控股,安通控股,安通控股股份有限公司,1998-11-04,主板
SH,600180,*ST瑞茂,*ST瑞茂,*ST瑞茂,瑞茂通供应链管理股份有限公司,1998-07-03,主板
SH,600182,S佳通,S佳通,S佳通,佳通轮胎股份有限公司,1999-05-07,主板
SH,600183,生益科技,生益科技,生益科技,广东生益科技股份有限公司,1998-10-28,主板
SH,600184,光电股份,光电股份,光电股份,北方光电股份有限公司,2003-11-06,主板
SH,600185,珠免集团,珠免集团,珠免集团,珠海珠免集团股份有限公司,1999-06-11,主板
SH,600186,莲花控股,莲花控股,莲花控股,莲花控股股份有限公司,1998-08-25,主板
SH,600187,*ST国中,*ST国中,*ST国中,黑龙江国中水务股份有限公司,1998-11-11,主板
SH,600188,兖矿能源,兖矿能源,兖矿能源,兖矿能源集团股份有限公司,1998-07-01,主板
SH,600189,泉阳泉,泉阳泉,泉阳泉,吉林泉阳泉股份有限公司,1998-10-07,主板
SH,600191,华资实业,华资实业,华资实业,包头华资实业股份有限公司,1998-12-10,主板
