exchange,code,name,list_date,delist_date,status
SH,603388,*ST元成,20170324,20251205,退市
SH,603555,ST贵人,20140124,20240329,退市
SH,603603,退市博天,20170217,20240425,退市
SH,603963,*ST大药,20170922,20250321,退市
SH,603996,退市中新,20151222,20220524,退市
SH,688086,退市紫晶,20200226,20230707,退市
SH,688555,退市泽达,20200623,20230707,退市
SH,900935,阳晨Ｂ股,19950727,20161216,退市
SH,900949,东电Ｂ股,19970923,20131107,退市
SH,900950,新城Ｂ股,19971016,20151123,退市
SH,900951,退市大化,19971021,20200828,退市
SH,900953,凯马Ｂ,19980624,20240705,退市
SH,900956,东贝Ｂ股,19990715,20201123,退市
SH,900957,*ST凌云B,20000728,20250704,退市
